brand;code;series;model;kind;size;description
sabian;21660XH;AAX;El Sabor Picante Hand Crash;Crash;16;Designed for percussionists to slap by hand, this thin-edged, semi-lathed model explodes with bright, dirt-edged sound. (Medium Center/Extra-Thin Edge)
sabian;21860XH;AAX;El Sabor Picante Hand Crash;Crash;18;Designed for percussionists to slap by hand, this thin-edged, semi-lathed model explodes with bright, dirt-edged sound. (Medium Center/Extra-Thin Edge)
sabian;21468X;AAX;Dark Crash;Crash;14;Dramatically dark and dry, this moody cymbal creates a dark-edged tone.
sabian;21668X;AAX;Dark Crash;Crash;16;Dramatically dark and dry, this moody cymbal creates a dark-edged tone.
sabian;21768X;AAX;Dark Crash;Crash;17;Dramatically dark and dry, this moody cymbal creates a dark-edged tone.
sabian;21868X;AAX;Dark Crash;Crash;18;Dramatically dark and dry, this moody cymbal creates a dark-edged tone.
sabian;21968X;AAX;Dark Crash;Crash;19;Dramatically dark and dry, this moody cymbal creates a dark-edged tone.
sabian;21487XB;AAX;X-Plosion Crash;Crash;14;Bursting with bright, explosive attack, this model delivers penetrating definition with total presence and power.
sabian;21587XB;AAX;X-Plosion Crash;Crash;15;Bursting with bright, explosive attack, this model delivers penetrating definition with total presence and power.
sabian;21687XB;AAX;X-Plosion Crash;Crash;16;Bursting with bright, explosive attack, this model delivers penetrating definition with total presence and power.
sabian;21787XB;AAX;X-Plosion Crash;Crash;17;Bursting with bright, explosive attack, this model delivers penetrating definition with total presence and power.
sabian;21887XB;AAX;X-Plosion Crash;Crash;18;Bursting with bright, explosive attack, this model delivers penetrating definition with total presence and power.
sabian;21987XB;AAX;X-Plosion Crash;Crash;19;Bursting with bright, explosive attack, this model delivers penetrating definition with total presence and power.
sabian;22087XB;AAX;X-Plosion Crash;Crash;20;Bursting with bright, explosive attack, this model delivers penetrating definition with total presence and power.
sabian;21485XB;AAX;X-Plosion Fast Crash;Crash;14;Super-fast and with a full, explosive response, the X-Plosion Fast Crash redefines the power potential for thinner cymbals with even faster, punchier accents at all volumes.
sabian;21585XB;AAX;X-Plosion Fast Crash;Crash;15;Super-fast and with a full, explosive response, the X-Plosion Fast Crash redefines the power potential for thinner cymbals with even faster, punchier accents at all volumes.
sabian;21685XB;AAX;X-Plosion Fast Crash;Crash;16;Super-fast and with a full, explosive response, the X-Plosion Fast Crash redefines the power potential for thinner cymbals with even faster, punchier accents at all volumes.
